PB01,Manual de Marca ONG,branding,ONG EcoBolivia,2020,1100,ecobivia@gmail.com
PA01,Logo Bodega Sur,branding,Bodega Sur Vinos,2021,1400,bodegasur@gmail.com
PA02,App Delivery UX,UX,RapidoApp,2022,3000,rapidoapp.dev@gmail.com
PB02,Ilustracion Mural,ilustracion,Municipio Sopocachi,2022,2500,municipio.sopo@gmail.com
PA03,Flyer Concierto,ilustracion,MusicaViva,2023,900,musicaviva@gmail.com
PB03,Rediseno App Banco,UX,BancoLocal,2023,7000,bancolocal.bo@gmail.com
PA04,Web Landing Page,web,InmoAndes,2024,2800,inmoandesbo@gmail.com
PB04,Motion Explainer Video,motion,StartupHub,2024,3200,startuphub@gmail.com
PA05,Reel Corporativo,motion,CorpTech,2025,3500,corptech@gmail.com
PB05,Web E-commerce,web,ArtesaniasBol,2025,4000,artesaniasbol@gmail.com
